"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@example.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hatatest-02",,,,"User:","yusuke.hata"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --tcp --output ./data_201908051443.csv",,,,"Date:","05 Aug 2019 14:43:43 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","25","26","30","int","csw","lis","act","syn","tim","clo"
05-08 14:43:43,0.052,0.036,99.903,0.009,0,292442112,1761595392,117182464,1479557120,293.985,5483.952,0.025,0.198,0,0,0.771,0.392,0.169,7.122,18.414,4,4,0,1,1
05-08 14:43:44,0,0,100,0,0,292421632,1761595392,117182464,1479561216,0,0,0,0,726,2850,9,4,0,26,74,4,4,0,1,1
05-08 14:43:45,0,0,97.980,2.020,0,292401152,1761652736,117182464,1479561216,0,2629632,0,220,698,2014,8,7,49,84,99,4,4,0,1,1
05-08 14:43:46,0,0.990,98.020,0.990,0,292401152,1761652736,117182464,1479561216,0,73728,0,2,684,488,7,5,4,36,72,4,4,0,1,1
05-08 14:43:47,0.990,0,99.010,0,0,292368384,1761685504,117182464,1479561216,0,0,0,0,1578,2019,16,10,0,53,99,4,4,0,1,1
05-08 14:43:48,0,1,99,0,0,292368384,1761685504,117182464,1479561216,0,0,0,0,802,590,9,5,0,30,75,4,4,0,1,1
05-08 14:43:49,14.141,9.091,75.758,1.010,0,292306944,1761710080,117182464,1479593984,32768,0,2,0,868,1236,9,6,2,86,90,4,4,0,1,1
05-08 14:43:50,55.556,44.444,0,0,0,292306944,1761710080,117182464,1479593984,0,0,0,0,174,550,3,3,0,257,34,4,4,0,1,1
05-08 14:43:51,51.961,40.196,7.843,0,0,292302848,1761734656,117182464,1479593984,0,0,0,0,448,926,6,4,0,250,58,4,4,0,1,1
05-08 14:43:52,0,0,100,0,0,292319232,1761734656,117186560,1479593984,0,20480,0,3,132,508,1,2,6,33,61,4,4,0,1,1
05-08 14:43:53,0,0,100,0,0,292294656,1761767424,117186560,1479593984,0,0,0,0,1688,8270,14,5,0,34,105,4,4,0,1,1
05-08 14:43:54,0,0,100,0,0,292261888,1761800192,117186560,1479593984,0,0,0,0,330,1262,4,4,0,21,41,4,4,0,1,1
05-08 14:43:55,0,0.990,98.020,0.990,0,292327424,1761742848,117186560,1479593984,0,303104,0,54,448,1262,5,4,14,35,62,4,4,0,1,1
05-08 14:43:56,0.990,0,99.010,0,0,292327424,1761742848,117186560,1479593984,0,0,0,0,764,2144,9,7,0,41,68,4,4,0,1,1
05-08 14:43:57,0,0,100,0,0,292323328,1761742848,117190656,1479593984,0,40960,0,2,132,508,1,2,4,23,39,4,4,0,1,1
05-08 14:43:58,13,14,73,0,0,292298752,1761767424,117190656,1479593984,0,0,0,0,316,626,4,3,0,80,43,4,4,0,1,1
05-08 14:43:59,25.743,24.752,49.505,0,0,292294656,1761775616,117190656,1479593984,0,0,0,0,816,1178,9,6,0,155,97,4,4,0,1,1
05-08 14:44:00,27.273,14.141,58.586,0,0,292261888,1761808384,117190656,1479593984,0,0,0,0,750,1194,9,6,0,134,97,4,4,0,1,1
05-08 14:44:01,29,23,48,0,0,292311040,1761751040,117194752,1479593984,0,45182976,0,350,882,1162,11,6,212,376,221,4,4,0,1,1
05-08 14:44:02,19,22,59,0,0,292306944,1761751040,117194752,1479593984,0,253952,0,2,382,552,4,3,4,135,74,4,4,0,1,1
05-08 14:44:03,0,1,99,0,0,295387136,1758670848,117194752,1479593984,0,0,0,0,2480,14542,25,6,0,54,155,4,4,0,1,1
05-08 14:44:04,0,0,100,0,0,295342080,1758720000,117194752,1479593984,0,0,0,0,330,1278,4,4,0,20,37,4,4,0,1,1
