"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hatatest01",,,,"User:","yusuke.hata"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --tcp --output ./dstat.csv",,,,"Date:","09 Dec 2020 15:12:54 JST"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"tcp sockets",,,,
"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","read","writ","recv","send","42","43","44","int","csw","lis","act","syn","tim","clo"
09-12 15:12:54,9.146,5.275,83.879,1.455,0.000,0.244,7017975808.0,1436106752.0,6761066496.0,16473391104.0,3204.173,4703486.511,0.104,387.309,0.0,0.0,0.000,23.441,0.000,818.899,20106.817,41.0,347.0,2.0,1291.0,1.0
09-12 15:12:55,12.706,4.066,80.813,1.906,0.0,0.508,7013941248.0,1436106752.0,6760402944.0,16478089216.0,0.0,5591040.0,0.0,302.0,2385359.0,1004389.0,0.0,252.0,0.0,17655.0,25600.0,41.0,346.0,2.0,1322.0,2.0
09-12 15:12:56,12.644,5.109,79.693,2.299,0.0,0.255,7018397696.0,1436106752.0,6760648704.0,16473387008.0,0.0,5832704.0,0.0,382.0,4276588.0,1836463.0,0.0,197.0,0.0,20473.0,30555.0,41.0,346.0,2.0,1145.0,1.0
09-12 15:12:57,3.657,2.774,91.929,1.513,0.0,0.126,7012814848.0,1436106752.0,6760783872.0,16478834688.0,0.0,3944448.0,0.0,254.0,733960.0,656447.0,0.0,432.0,0.0,7696.0,10159.0,41.0,343.0,2.0,1152.0,1.0
09-12 15:12:58,4.580,3.308,90.076,1.908,0.0,0.127,7025500160.0,1436106752.0,6760902656.0,16466030592.0,0.0,5156864.0,0.0,337.0,2112892.0,1772087.0,0.0,508.0,0.0,10295.0,13762.0,41.0,342.0,2.0,1157.0,1.0
09-12 15:12:59,9.403,4.066,84.244,2.033,0.0,0.254,7019388928.0,1436106752.0,6761037824.0,16472006656.0,0.0,5386240.0,0.0,307.0,2514437.0,1947414.0,0.0,96.0,0.0,15061.0,21249.0,41.0,350.0,2.0,1178.0,1.0
09-12 15:13:00,5.934,3.535,89.015,1.515,0.0,0.0,7015821312.0,1436106752.0,6761160704.0,16475451392.0,0.0,3624960.0,0.0,234.0,1219514.0,908540.0,0.0,79.0,0.0,11470.0,16802.0,41.0,350.0,2.0,1200.0,1.0
09-12 15:13:01,9.403,5.718,82.592,1.779,0.0,0.508,7025029120.0,1436106752.0,6761254912.0,16466149376.0,0.0,4018176.0,0.0,250.0,2393798.0,1846545.0,0.0,437.0,0.0,15820.0,22582.0,41.0,354.0,2.0,1212.0,1.0
09-12 15:13:01,9.403,5.718,82.592,1.779,0.0,0.508,7025029120.0,1436106752.0,6761254912.0,16466149376.0,0.0,4018176.0,0.0,250.0,2393798.0,1846545.0,0.0,437.0,0.0,15820.0,22582.0,41.0,354.0,2.0,1212.0,1.0
09-12 15:13:01,9.403,5.718,82.592,1.779,0.0,0.508,7025029120.0,1436106752.0,6761254912.0,16466149376.0,0.0,4018176.0,0.0,250.0,2393798.0,1846545.0,0.0,437.0,0.0,15820.0,22582.0,41.0,354.0,2.0,1212.0,1.0
